Column 1,Restaurants
American Restaurant,American Restaurant
Argentinian Restaurant,European Restaurant
Asian Restaurant,Asian Restaurant
Australian Restaurant,Asian Restaurant
Austrian Restaurant,European Restaurant
Bagel Shop,Bakery
Bakery,Bakery
BBQ Joint,American Restaurant
Beijing Restaurant,Chinese Restaurant
Bistro,Café
Breakfast Spot,English Restaurant
Buffet,Buffet
Burger Joint,Fast Food Restaurant
Burmese Restaurant,Asian Restaurant
Burrito Place,Mexican Restaurant
Café,Café
Cafeteria,Café
Cajun / Creole Restaurant,Mediterranean Restaurant
Cantonese Restaurant,Chinese Restaurant
Chinese Aristocrat Restaurant,Chinese Restaurant
Chinese Breakfast Place,Chinese Restaurant
Chinese Restaurant,Chinese Restaurant
Churrascaria,Bakery
Comfort Food Restaurant,Diner
Creperie,Bakery
Cuban Restaurant,Mediterranean Restaurant
Deli / Bodega,Bakery
Dim Sum Restaurant,Chinese Restaurant
Diner,Diner
Dongbei Restaurant,Chinese Restaurant
Donut Shop,Fast Food Restaurant
Dumpling Restaurant,Chinese Restaurant
English Restaurant,English Restaurant
Falafel Restaurant,English Restaurant
Fast Food Restaurant,Fast Food Restaurant
Filipino Restaurant,Asian Food
Fish & Chips Shop,English Restaurant
Food,Fast Food Restaurant
Food Court,Food Court
Food Stand,Fast Food Restaurant
Food Truck,Fast Food Restaurant
French Restaurant,European Restaurant
Fried Chicken Joint,Fast Food Restaurant
Gastropub,Diner
German Restaurant,European Restaurant
Gluten-free Restaurant,Diner
Hainan Restaurant,Chinese Restaurant
Hakka Restaurant,Chinese Restaurant
Halal Restaurant,Malay Restaurant
Hong Kong Restaurant,Hong Kong Restaurant
Hot Dog Joint,Fast Food Restaurant
Hotpot Restaurant,Chinese Restaurant
Indian Restaurant,Indian Restaurant
Indonesian Restaurant,Asian Restaurant
Italian Restaurant,European Restaurant
Japanese Curry Restaurant,Japanese Restaurant
Japanese Restaurant,Japanese Restaurant
Kebab Restaurant,Mexican Restaurant
Korean Restaurant,Asian Restaurant
Macanese Restaurant,Hong Kong Restaurant
Malay Restaurant,Malay Restaurant
Mediterranean Restaurant,Mediterranean Restaurant
Mexican Restaurant,Mexican Restaurant
Middle Eastern Restaurant,Mediterranean Restaurant
Modern European Restaurant,European Restaurant
New American Restaurant,American Restaurant
Noodle House,Chinese Restaurant
North Indian Restaurant,Indian Restaurant
Pakistani Restaurant,Mediterranean Restaurant
Pastry Shop,Deli
Peking Duck Restaurant,Chinese Restaurant
Persian Restaurant,Mediterranean Restaurant
Pet Café,Café
Pie Shop,Deli
Pizza Place,Fast Food Restaurant
Portuguese Restaurant,European Restaurant
Ramen Restaurant,Japanese Restaurant
Restaurant,Diner
Salad Place,Diner
Sandwich Place,Diner
Satay Restaurant,Asian Restaurant
Scandinavian Restaurant,Mediterranean Restaurant
Seafood Restaurant,Diner
Shabu-Shabu Restaurant,Japanese Restaurant
Shanghai Restaurant,Chinese Restaurant
Snack Place,Fast Food Restaurant
Soup Place,Diner
South Indian Restaurant,Indian Restuarant
Southern / Soul Food Restaurant,Asian Restaurant
Spanish Restaurant,Mexican Restaurant
Steakhouse,American Restaurant
Sushi Restaurant,Japanese Restaurant
Swiss Restaurant,European Restaurant
Szechuan Restaurant,Chinese Restaurant
Taco Place,Mexican Restaurant
Taiwanese Restaurant,Chinese Restaurant
Tapas Restaurant,Mexican Restaurant
Thai Restaurant,Asian Restaurant
Turkish Restaurant,European Restaurant
Udon Restaurant,Japanese Restaurant
Vegetarian / Vegan Restaurant,Diner
Vietnamese Restaurant,Asian Restaurant
Wings Joint,Fast Food Restaurant
Yunnan Restaurant,Chinese Restaurant
